Date,VLID3.SA,EGIE3.SA,ALZR11.SA,^NQDXBR
2018-01-04,19.489999771118164,28.016000747680664,100.9000015258789,1199.9100341796875
2018-01-05,19.450000762939453,28.15999984741211,98.80999755859375,1197.1199951171875
2018-01-08,19.399999618530273,28.31999969482422,100.1500015258789,1200.0
2018-01-09,19.149999618530273,28.31999969482422,99.6500015258789,1182.9100341796875
2018-01-10,18.850000381469727,28.215999603271484,99.0999984741211,1178.4300537109375
2018-01-11,18.920000076293945,27.93600082397461,99.01000213623047,1199.77001953125
2018-01-12,18.489999771118164,28.079999923706055,99.4000015258789,1205.8299560546875
2018-01-15,18.799999237060547,28.23200035095215,99.98999786376953,
2018-01-16,18.780000686645508,28.360000610351562,101.0,1204.489990234375
2018-01-17,18.790000915527344,28.784000396728516,100.0,1218.6099853515625
2018-01-18,18.350000381469727,28.8799991607666,99.0,1215.7099609375
2018-01-19,18.350000381469727,29.399999618530273,100.0999984741211,1222.7900390625
2018-01-22,18.510000228881836,29.360000610351562,100.0,1227.2900390625
2018-01-23,18.06999969482422,28.663999557495117,99.98999786376953,1197.489990234375
2018-01-24,18.489999771118164,29.360000610351562,99.86000061035156,1255.4300537109375
2018-01-25,18.489999771118164,29.360000610351562,99.86000061035156,1272.3199462890625
2018-01-26,19.75,29.447999954223633,100.5,1289.800048828125
2018-01-29,20.030000686645508,29.304000854492188,100.88999938964844,1281.199951171875
2018-01-30,20.149999618530273,29.15999984741211,100.69999694824219,1271.52001953125
2018-01-31,20.399999618530273,28.75200080871582,100.9000015258789,1284.3499755859375
2018-02-01,20.59000015258789,28.871999740600586,100.9000015258789,1296.22998046875
2018-02-02,19.93000030517578,28.799999237060547,100.88999938964844,1257.31005859375
2018-02-05,20.200000762939453,28.399999618530273,100.87999725341797,1221.3599853515625
2018-02-06,19.700000762939453,28.760000228881836,101.0,1238.25
2018-02-07,19.899999618530273,28.615999221801758,101.5,1232.3699951171875
2018-02-08,19.799999237060547,28.143999099731445,101.69000244140625,1203.77001953125
2018-02-09,19.600000381469727,27.959999084472656,104.81999969482422,1182.97998046875
2018-02-15,19.399999618530273,28.760000228881836,103.75,1253.52001953125
2018-02-16,19.399999618530273,29.392000198364258,103.5199966430664,1262.280029296875
2018-02-19,19.809999465942383,29.45599937438965,103.0,
2018-02-20,19.6200008392334,30.215999603271484,102.23999786376953,1272.1400146484375
2018-02-21,19.729999542236328,30.440000534057617,103.0,1268.3199462890625
2018-02-22,19.93000030517578,30.559999465942383,102.9000015258789,1275.7900390625
2018-02-23,19.959999084472656,31.200000762939453,101.98999786376953,1294.0400390625
2018-02-26,20.100000381469727,31.68000030517578,102.4000015258789,1304.010009765625
2018-02-27,19.760000228881836,31.600000381469727,101.62000274658203,1290.1800537109375
2018-02-28,19.809999465942383,31.31999969482422,101.91000366210938,1273.239990234375
2018-03-01,19.540000915527344,31.447999954223633,101.6500015258789,1270.75
2018-03-02,20.149999618530273,31.31999969482422,102.19999694824219,1266.5999755859375
2018-03-05,20.600000381469727,31.399999618530273,101.47000122070312,1268.6700439453125
2018-03-06,19.700000762939453,30.92799949645996,101.98999786376953,1272.6500244140625
2018-03-07,18.8700008392334,31.24799919128418,101.88999938964844,1265.5
2018-03-08,19.209999084472656,31.288000106811523,101.12000274658203,1251.6600341796875
2018-03-09,19.399999618530273,31.31999969482422,101.3499984741211,1278.8599853515625
2018-03-12,19.600000381469727,31.496000289916992,104.5,1283.8800048828125
2018-03-13,19.280000686645508,30.799999237060547,101.91000366210938,1286.4100341796875
2018-03-14,19.200000762939453,30.639999389648438,103.0,1275.4300537109375
2018-03-15,18.75,30.392000198364258,102.5,1261.18994140625
2018-03-16,18.84000015258789,30.711999893188477,102.80000305175781,1259.43994140625
2018-03-19,18.799999237060547,30.8799991607666,102.9000015258789,1248.0
2018-03-20,18.459999084472656,31.040000915527344,102.1500015258789,1246.72998046875
2018-03-21,18.25,31.288000106811523,101.91999816894531,1259.22998046875
2018-03-22,18.399999618530273,30.93600082397461,102.5,1253.719970703125
2018-03-23,18.0,30.75200080871582,102.16000366210938,1240.449951171875
2018-03-26,17.670000076293945,30.799999237060547,102.98999786376953,1257.06005859375
2018-03-27,17.34000015258789,30.86400032043457,102.5,1230.02001953125
2018-03-28,17.1299991607666,30.920000076293945,102.77999877929688,1221.1600341796875
2018-03-29,18.200000762939453,31.327999114990234,103.7699966430664,1247.699951171875
2018-04-02,17.989999771118164,30.79199981689453,103.5,1238.5899658203125
2018-04-03,17.75,30.368000030517578,104.0,1236.050048828125
2018-04-04,18.100000381469727,30.535999298095703,102.9000015258789,1217.52001953125
2018-04-05,18.200000762939453,30.90399932861328,101.91999816894531,1236.3800048828125
2018-04-06,18.350000381469727,30.56800079345703,102.41000366210938,1215.8299560546875
2018-04-09,17.639999389648438,30.239999771118164,102.02999877929688,1193.75
2018-04-10,17.299999237060547,30.799999237060547,102.26000213623047,1193.780029296875
2018-04-11,17.5,30.399999618530273,102.91999816894531,1207.989990234375
2018-04-12,17.5,30.600000381469727,102.30000305175781,1224.22998046875
2018-04-13,17.459999084472656,30.68000030517578,102.66999816894531,1201.1199951171875
2018-04-16,17.1200008392334,29.992000579833984,102.9000015258789,1180.3900146484375
2018-04-17,17.700000762939453,30.360000610351562,102.5,1207.8399658203125
2018-04-18,17.65999984741211,30.527999877929688,102.5,1230.0400390625
2018-04-19,17.729999542236328,30.143999099731445,102.29000091552734,1227.239990234375
2018-04-20,18.25,30.06399917602539,101.30000305175781,1224.6800537109375
