,Date,AMER3.SA,LAME4.SA,MGLU3.SA,AMZO34.SA,^BVSP,SELIC
0,2005-03-30,19.09364891052246,2793.692626953125,,,26470.0,0.069886
1,2005-03-31,19.09364891052246,2744.57275390625,,,26611.0,0.069886
2,2005-04-01,18.546096801757812,2787.552490234375,,,26774.0,0.064826
3,2005-04-04,17.45099449157715,2787.552490234375,,,26407.0,0.069853
4,2005-04-05,17.194881439208984,2697.90869140625,,,26038.0,0.070751
5,2005-04-07,15.799508094787598,2700.978759765625,,,26308.0,0.071448
6,2005-04-08,16.603172302246094,2756.238525390625,,,25885.0,0.071581
7,2005-04-11,17.168386459350586,2793.692626953125,,,25900.0,0.068919
8,2005-04-13,16.86811637878418,2701.5927734375,,,26066.0,0.069853
9,2005-04-14,17.177217483520508,2695.452880859375,,,24984.0,0.069853
10,2005-04-15,17.088903427124023,2578.79296875,,,24656.0,0.069853
11,2005-04-18,16.86811637878418,2621.77294921875,,,24877.0,0.069853
12,2005-04-19,17.53047752380371,2683.1728515625,,,25566.0,0.069853
13,2005-04-20,17.177217483520508,2578.79296875,,,25062.0,0.069853
14,2005-04-22,17.468656539916992,2578.79296875,,,24767.0,0.070685
15,2005-04-25,17.212543487548828,2621.77294921875,,,25232.0,0.070685
16,2005-04-26,17.221376419067383,2602.739013671875,,,25305.0,0.070685
17,2005-04-27,16.47953224182129,2683.1728515625,,,25242.0,0.070718
18,2005-04-28,15.622879028320312,2578.79296875,,,24440.0,0.070718
19,2005-04-29,15.278450965881348,2621.77294921875,,,24844.0,0.070718
20,2005-05-04,14.748562812805176,2701.5927734375,,,25474.0,0.069853
21,2005-05-05,14.836877822875977,2664.7529296875,,,25436.0,0.070751
22,2005-05-09,14.792719841003418,2609.492919921875,,,25465.0,0.071481
23,2005-05-10,14.395303726196289,2554.233154296875,,,24763.0,0.070552
24,2005-05-12,13.821257591247559,2563.443115234375,,,24117.0,0.067347
25,2005-05-13,13.247212409973145,2578.79296875,,,23887.0,0.070784
26,2005-05-16,13.07058334350586,2609.492919921875,,,24379.0,0.070784
27,2005-05-17,13.07058334350586,2652.472900390625,,,24413.0,0.070784
28,2005-05-18,13.247212409973145,2670.892822265625,,,24898.0,0.070751
29,2005-05-19,13.158897399902344,2695.452880859375,,,24829.0,0.071581
30,2005-05-20,14.571932792663574,2677.03271484375,,,24522.0,0.071548
31,2005-05-23,15.101821899414062,2670.892822265625,,,24215.0,0.071548
32,2005-05-24,15.145978927612305,2670.892822265625,,,24545.0,0.071548
33,2005-05-25,15.013506889343262,2639.578857421875,,,24478.0,0.071548
34,2005-05-27,15.110652923583984,2640.19287109375,,,25255.0,0.071548
35,2005-05-30,15.631710052490234,2640.19287109375,,,25424.0,0.071548
36,2005-05-31,15.808340072631836,2732.292724609375,,,25207.0,0.071581
37,2005-06-01,15.54339599609375,2824.392333984375,,,25949.0,0.064826
38,2005-06-06,15.013506889343262,2916.4921875,,,25556.0,0.071548
39,2005-06-07,15.013506889343262,2824.392333984375,,,25026.0,0.071448
40,2005-06-09,15.322608947753906,2799.83251953125,,,24484.0,0.071515
41,2005-06-10,16.249914169311523,2885.792236328125,,,24951.0,0.070552
42,2005-06-13,16.073284149169922,2885.792236328125,,,24902.0,0.071548
43,2005-06-14,16.40888023376465,2984.031982421875,,,25744.0,0.071548
44,2005-06-15,15.799508094787598,2947.192138671875,,,25481.0,0.071548
45,2005-06-16,16.161598205566406,2990.171875,,,25751.0,0.071515
46,2005-06-17,16.51485824584961,2916.4921875,,,26093.0,0.071515
47,2005-06-20,15.923149108886719,2910.352294921875,,,26046.0,0.071515
48,2005-06-21,15.896655082702637,2916.4921875,,,25722.0,0.071515
49,2005-06-22,15.852497100830078,3008.592041015625,,,25678.0,0.071515
50,2005-06-23,15.764182090759277,3002.451904296875,,,24816.0,0.071515
51,2005-06-24,15.896655082702637,2915.878173828125,,,24917.0,0.071515
52,2005-06-27,15.896655082702637,2855.09228515625,,,25226.0,0.071515
53,2005-06-28,15.896655082702637,2855.09228515625,,,25261.0,0.071515
54,2005-06-29,15.569890022277832,2815.182373046875,,,25126.0,0.071515
55,2005-06-30,15.54339599609375,2781.41259765625,,,25051.0,0.071515
56,2005-07-01,15.896655082702637,2824.392333984375,,,25311.0,0.064826
57,2005-07-04,15.896655082702637,2842.8125,,,25045.0,0.069853
58,2005-07-06,16.338228225708008,2861.232421875,,,24517.0,0.071548
59,2005-07-07,16.249914169311523,2898.072265625,,,24450.0,0.071448
60,2005-07-11,17.221376419067383,2689.312744140625,,,25016.0,0.068953
61,2005-07-12,17.442163467407227,2639.578857421875,,,25536.0,0.067314
62,2005-07-13,17.53047752380371,2639.578857421875,,,25856.0,0.071448
63,2005-07-14,17.48632049560547,2591.072998046875,,,25920.0,0.071448
64,2005-07-15,18.53726577758789,2658.61279296875,,,25222.0,0.071481
65,2005-07-18,18.9876708984375,2762.378662109375,,,25321.0,0.071448
66,2005-07-19,19.40275001525879,2799.83251953125,,,25271.0,0.071448
67,2005-07-20,19.517559051513672,2916.4921875,,,25705.0,0.071448
68,2005-07-21,19.429244995117188,2885.792236328125,,,25842.0,0.071448
69,2005-07-22,18.63441276550293,2848.952392578125,,,25391.0,0.071448
70,2005-07-25,18.369468688964844,2756.8525390625,,,24531.0,0.071448
71,2005-07-26,18.766883850097656,2824.392333984375,,,24868.0,0.071448
72,2005-07-27,19.208457946777344,2855.09228515625,,,25338.0,0.071448
73,2005-07-28,19.50872802734375,2885.17822265625,,,26068.0,0.071481
